397,7271,senate_group,Ohio,OhioSenateGOP,OhioSenateGOP,GOP
0,0,null,null,null,null,
3095,26951,senate_group,FL,FloridaGOP,FloridaGOP,GOP
652,6187008,presidential_candidate,na,HillaryClinton,HillaryClinton,democrat
384,2651,reporter,West Virginia,PhilKabler,PhilKabler,na
0,0,null,null,wvubandvoice,wvubandvoice,
0,0,null,null,WVUMarchingBand,WVUMarchingBand,
2475,1356595,presidential_candidate,na,marcorubio,marcorubio,GOP
2806,5562,senate_group,Louisiana,lagop,lagop,GOP
0,0,null,null,JohnBelforLA,JohnBelforLA,
41,8062804,presidential_candidate,na,realDonaldTrump,realDonaldTrump,GOP
0,0,null,null,FoxNews,FoxNews,
413,6340,senate_group,Indiana,INSenDems,INSenDems,democrat
1388,8063,senate_group,Colorado,ColoSenGOP,ColoSenGOP,GOP
1796,6472,reporter,IA,JasonnobleDMR,jasonnobleDMR,na
1497,2137079,presidential_candidate,na,BernieSanders,BernieSanders,democrat
1840,4628,reporter,Oregon,IanKullgren,IanKullgren,na
590,2991,Senator,AZ,NancyBarto,NancyBarto,GOP
0,0,null,null,OhioHigherEd,OhioHigherEd,
0,0,null,null,Cliff_Hite,Cliff_Hite,
0,0,null,null,YouTube,YouTube,
995,3778,senate_group,New Mexico,newmexicogop,NewMexicoGOP,GOP
1723,2951,reporter,Virginia,patrickmwilson,patrickmwilson,na
0,0,null,null,Mike_Hixenbaugh,Mike_Hixenbaugh,
0,0,null,null,TheOnlyColors,TheOnlyColors,
0,0,null,null,KeithFaber,KeithFaber,
0,0,null,null,OhioState,OhioState,
0,0,null,null,youngstownstate,youngstownstate,
0,0,null,null,ohiou,ohiou,
225,3082,senate_group,NE,NebraskaDems,NebraskaDems,democrat
0,0,null,null,CharleneLigon,CharleneLigon,
1642,5575,reporter,Missouri,J_Hancock,J_Hancock,na
0,0,null,null,noamscheiber,noamscheiber,
0,0,null,null,Radkey,Radkey,
0,0,null,null,DMSocialClub,DMSocialClub,
0,0,null,null,_TonyBriscoe,_TonyBriscoe,
0,0,null,null,DonGonyea,DonGonyea,
0,0,null,null,HistoryInPics,HistoryInPics,
958,11380,reporter,Nevada,SteveSebelius,SteveSebelius,na
0,0,null,null,BetsBarnes,BetsBarnes,
32,1324661,presidential_candidate,na,RealBenCarson,RealBenCarson,GOP
8451,15827,senate_group,North Carolina,NCGOP,NCGOP,GOP
453,5731,senate_group,Michigan,MISenate,MISenate,GOP
22384,46559,senate_group,FL,FlaDems,FlaDems,democrat
0,0,null,null,WhiteHouse,WhiteHouse,
0,0,null,null,RickVelotta,RickVelotta,
0,0,null,null,ianm_whitaker,ianm_whitaker,
3478,6331,reporter,Indiana,Indystartony,indystartony,na
0,0,null,null,courtneysampson,courtneysampson,
464,912,reporter,IL,Jessiehellmann,jessiehellmann,na
0,0,null,null,WrigleyBlog,WrigleyBlog,
1016,2838,senate_group,IA,IASenateGOP,IASenateGOP,GOP
1240,11341,senate_group,Tennessee,TNGOP,TNGOP,GOP
637,6678,senate_group,Mississippi,MSGOP,MSGOP,GOP
0,0,null,null,jallenaip,jallenaip,
871,3640,reporter,Pennsylvania,inkyamy,inkyamy,na
4977,8413,senate_group,Indiana,indgop,indgop,GOP
0,0,null,null,SusanWBrooks,SusanWBrooks,
4024,7918,senate_group,Colorado,COSenDem,COSenDem,democrat
525,2073,senate_group,Hawaii,gophawaii,gophawaii,GOP
331,1625,senate_group,Rhode Island,RhodeIslandGOP,RhodeIslandGOP,GOP
0,0,null,null,GinaRaimondo,GinaRaimondo,
564,4454,senate_group,Kentucky,KYSenateGOP,KYSenateGOP,GOP
411,8527,senate_group,Pennsylvania,PaSenateDems,PaSenateDems,democrat
0,0,null,null,alanblinder,alanblinder,
1161,5573,reporter,Rhode Island,kathyprojo,kathyprojo,na
0,0,null,null,Ed_Achorn,Ed_Achorn,
0,0,null,null,projo,projo,
812,6929,senate_group,FL,FLSenateGOP,FLSenateGOP,GOP
0,0,null,null,darylawest,darylawest,
0,0,null,null,WonderWheelPark,WonderWheelPark,
0,0,null,null,GregButcher_,GregButcher_,
0,0,null,null,TheFix,TheFix,
0,0,null,null,thinkprogress,thinkprogress,
1444,4535,presidential_candidate,na,gov_gilmore,gov_gilmore,GOP
0,0,null,null,c130q,c130q,
0,0,null,null,swimmomjj,swimmomjj,
0,0,null,null,deknightberight,deknightberight,
10081,326528,presidential_candidate,na,JohnKasich,JohnKasich,GOP
618,3127,senate_group,SD,SoDakDems,SoDakDems,democrat
2059,130920,presidential_candidate,na,MartinOMalley,MartinOMalley,democrat
0,0,null,null,LOLGOP,LOLGOP,
0,0,null,null,KYHouseGOP,KYHouseGOP,
0,0,null,null,KYHoover,KYHoover,
0,0,null,null,kysenatepres,kysenatepres,
0,0,null,null,KYTonightKET,KYTonightKET,
0,0,null,null,BillKET,BillKET,
0,0,null,null,joenosef,joenosef,
0,0,null,null,plaverty24,plaverty24,
0,0,null,null,peterprojo,peterprojo,
0,0,null,null,PatrickASweeney,PatrickASweeney,
0,0,null,null,TedNesi,TedNesi,
0,0,null,null,IanDon,IanDon,
745,2976,senate_group,Oregon,orsendemocrats,orsendemocrats,democrat
0,0,null,null,Sendiane,Sendiane,
0,0,null,null,ESHforOregon,ESHforOregon,
1877,4384,reporter,WI,jasonmdstein,jasonmdstein,na
1185,3422,reporter,WI,PatrickdMarley,patrickdmarley,na
623,5148,senate_group,West Virginia,wvdemocrats,wvdemocrats,democrat
0,0,null,null,GuardianUS,GuardianUS,
571,1801,senate_group,Alaska,AKSenateDems,AKSenateDems,democrat
0,0,null,null,SenJohnnyEllis,SenJohnnyEllis,
0,0,null,null,wielechowski,wielechowski,
4019,4999,reporter,Massachusetts,JM_Bos,jm_bos,na
0,0,null,null,jrinaldi5,jrinaldi5,
0,0,null,null,BostonGlobe,BostonGlobe,
0,0,null,null,TimPaluch,TimPaluch,
784,4328,senate_group,Ohio,OhioSenateDems,OhioSenateDems,democrat
0,0,null,null,ToddRokita,ToddRokita,
0,0,null,null,DmitriMehlhorn,DmitriMehlhorn,
0,0,null,null,HawkeyeFootball,HawkeyeFootball,
0,0,null,null,RepBradAshford,RepBradAshford,
0,0,null,null,mosttweetedword,mosttweetedword,
0,0,null,null,gssasse,gssasse,
4525,7321,senate_group,Louisiana,LaDemos,LaDemos,democrat
0,0,null,null,laforbernie,laforbernie,
2652,7276,reporter,Alaska,nat_herz,Nat_Herz,na
0,0,null,null,sprinklermanus,sprinklermanus,
0,0,null,null,CNN,CNN,
1188,2726,reporter,New Jersey,SusanKLivio,SusanKLivio,na
0,0,null,null,NPRHealth,NPRHealth,
2483,4738,senate_group,Idaho,IdahoGOP,IdahoGOP,GOP
0,0,null,null,BrianJGrace,BrianJGrace,
0,0,null,null,marie7777777777,marie7777777777,
0,0,null,null,ad_wilson,ad_wilson,
0,0,null,null,JodiL792,JodiL792,
0,0,null,null,MEMEoryHead,MEMEoryHead,
0,0,null,null,CASuperrunner,CASuperrunner,
0,0,null,null,georgehenryw,georgehenryw,
248,599221,presidential_candidate,na,JebBush,JebBush,GOP
1995,4255,reporter,Texas,RobertTGarrett,RobertTGarrett,na
0,0,null,null,Evan_P_Grant,Evan_P_Grant,
0,0,null,null,codyraymille,codyraymille,
1573,8812,senate_group,New York,NewYorkGOP,NewYorkGOP,GOP
0,0,null,null,ScottFConroy,ScottFConroy,
0,0,null,null,OSUCoachMeyer,OSUCoachMeyer,
0,0,null,null,Fiesta_Bowl,Fiesta_Bowl,
0,0,null,null,samsteinhp,samsteinhp,
1096,6028,senate_group,Utah,UtahGOP,UtahGOP,GOP
0,0,null,null,utgop_james,utgop_james,
0,0,null,null,JeffCampbellWV,JeffCampbellWV,
1111,3233,House_representative,AZ, RepMarkCardenas,RepMarkCardenas,democrat
0,0,null,null,MayorFung,MayorFung,
0,0,null,null,StopTollsRI,StopTollsRI,
0,0,null,null,GOP,GOP,
0,0,null,null,NFRW,NFRW,
0,0,null,null,PortsmouthRIGOP,PortsmouthRIGOP,
0,0,null,null,DoreenCostaRI,DoreenCostaRI,
0,0,null,null,CommonSenseRI,CommonSenseRI,
0,0,null,null,repmorgan,repmorgan,
0,0,null,null,MikeWChip,MikeWChip,
998,4668,reporter,Kentucky,TomLoftus_CJ,TomLoftus_CJ,na
0,0,null,null,courierjournal,courierjournal,
0,0,null,null,tcgohawks,tcgohawks,
0,0,null,null,highlinenyc,highlinenyc,
0,0,null,null,HillaryforNH,HillaryforNH,
0,0,null,null,YatesDCIA,YatesDCIA,
0,0,null,null,SharynJackson,SharynJackson,
0,0,null,null,DMNPolitics,DMNPolitics,
0,0,null,null,dallasnews,dallasnews,
671,3392,reporter,Mississippi,GeoffPender,GeoffPender,na
0,0,null,null,clarionledger,clarionledger,
0,0,null,null,GrahamDavidA,GrahamDavidA,
0,0,null,null,meetthepress,meetthepress,
0,0,null,null,RandPaul,RandPaul,
0,0,null,null,joenigro1,joenigro1,
0,0,null,null,voxdotcom,voxdotcom,
0,0,null,null,HeerJeet,HeerJeet,
0,0,null,null,ksosanie,ksosanie,
0,0,null,null,joecaiazzo,joecaiazzo,
0,0,null,null,SaysCarlosRojas,SaysCarlosRojas,
0,0,null,null,INSenateGOP,INSenateGOP,
1123,2281,reporter,Vermont,aprilburbank,aprilburbank,na
0,0,null,null,nbc,nbc,
0,0,null,null,bfp_news,bfp_news,
0,0,null,null,MassForBernie,MassForBernie,
0,0,null,null,AP_Politics,AP_Politics,
0,0,null,null,jimcola99,jimcola99,
0,0,null,null,SenLauraWoods,SenLauraWoods,
0,0,null,null,SCOTTFORCOLO,SCOTTFORCOLO,
0,0,null,null,CeaGlass,CeaGlass,
0,0,null,null,SC_TeamMarco,SC_TeamMarco,
0,0,null,null,Debsam1760,Debsam1760,
4032,8078,senate_group,Missouri,missourigop,MissouriGOP,GOP
0,0,null,null,MetzgerBot,MetzgerBot,
0,0,null,null,King0fDorks,King0fDorks,
0,0,null,null,yrpmississippi,yrpmississippi,
0,0,null,null,BoltonValley,BoltonValley,
0,0,null,null,SkiVermont,SkiVermont,
1666,12545,senate_group,WI,WisDems,WisDems,democrat
0,0,null,null,IndyStarChelsea,IndyStarChelsea,
0,0,null,null,StephMachado,StephMachado,
874,4704,reporter,Maryland,ErinatTheSun,ErinatTheSun,na
0,0,null,null,RectorSun,RectorSun,
0,0,null,null,jfenton,jfenton,
0,0,null,null,FowlerSarah,FowlerSarah,
0,0,null,null,howardstutz,howardstutz,
0,0,null,null,reviewjournal,reviewjournal,
0,0,null,null,ASU,ASU,
0,0,null,null,ThisWeekABC,ThisWeekABC,
0,0,null,null,TeamMarco,TeamMarco,
0,0,null,null,LesZaitz,LesZaitz,
0,0,null,null,vince_powers,vince_powers,
0,0,null,null,LCDP_NE,LCDP_NE,
0,0,null,null,NECaucus2016,NECaucus2016,
0,0,null,null,DaveDomina,DaveDomina,
408,2250,House_representative,AZ,LelaAlstonAz,LelaAlstonAz,democrat
0,0,null,null,SCScottSmith,SCScottSmith,
0,0,null,null,AndrewWMullins,AndrewWMullins,
0,0,null,null,_SFRNC,_SFRNC,
0,0,null,null,Granite_Hope,Granite_Hope,
0,0,null,null,namusca,namusca,
0,0,null,null,EricTrump,EricTrump,
0,0,null,null,DiamondandSilk,DiamondandSilk,
0,0,null,null,MMMDigits,MMMDigits,
0,0,null,null,Terry_T_Mark,Terry_T_Mark,
0,0,null,null,ryanjhaas,ryanjhaas,
0,0,null,null,SeattleNathan,SeattleNathan,
0,0,null,null,justicar,justicar,
1173,1999,House_representative,AZ,reginaldbolding,reginaldbolding,democrat
1343,3999,senate_group,West Virginia,WVGOP,WVGOP,GOP
0,0,null,null,KatyMoeller,KatyMoeller,
0,0,null,null,ASPCA,ASPCA,
0,0,null,null,dominickianno,dominickianno,
0,0,null,null,FeliceBelman,FeliceBelman,
0,0,null,null,JimSeveney,JimSeveney,
0,0,null,null,FoxNewsSunday,FoxNewsSunday,
0,0,null,null,KevinMKruse,KevinMKruse,
0,0,null,null,FromaHarrop,FromaHarrop,
0,0,null,null,BillColeWV,BillColeWV,
